Year,Rate
1950,1446
1951,1435.32
1952,1424.64
1953,1413.96
1954,1403.28
1955,1392.6
1956,1381.92
1957,1371.24
1958,1360.56
1959,1349.88
1960,1339.2
1961,1327.54
1962,1315.88
1963,1304.22
1964,1292.56
1965,1280.9
1966,1269.24
1967,1257.58
1968,1245.92
1969,1234.26
1970,1222.6
1971,1204.25
1972,1185.9
1973,1167.55
1974,1149.2
1975,1130.85
1976,1112.5
1977,1094.15
1978,1075.8
1979,1057.45
1980,1039.1
1981,1029.06
1982,1019.02
1983,1008.98
1984,998.94
1985,988.9
1986,978.86
1987,968.82
1988,958.78
1989,948.74
1990,938.7
1991,932.92
1992,927.14
1993,921.36
1994,915.58
1995,909.8
1996,901.64
1997,893.48
1998,885.32
1999,877.16
2000,869
2001,858.8
2002,855.9
2003,843.5
2004,813.7
2005,815
2006,791.8
2007,775.3
2008,774.9
2009,749.6
2010,747
2011,741.3
2012,732.8
2013,731.9
2014,724.6
2015,733.1
2016,728.8
2017,731.9
2018,723.6
2019,715.2
2020,835.4
2021,879.7
2022,811.2
2023,750.5
